ID	time	temp	tipo
13	0.34	29	entrando
14	0.68	39	saindo
46	0.16	19	entrando
47	0.89	24	saindo
84	0.20	24	entrando
85	0.88	22	saindo
131	0.20	23	entrando
132	0.82	22	saindo
139	0.18	22	entrando
140	0.83	25	saindo
158	0.07	24	entrando
159	0.82	25	saindo
161	0.04	22	entrando
162	0.83	26	saindo
166	0.09	23	entrando
167	0.77	29	saindo
179	0.01	18	entrando
180	0.83	20	saindo
181	0.02	19	entrando
182	0.74	26	saindo
194	0.86	16	entrando
196	0.28	12	saindo
197	0.03	15	entrando
198	0.74	19	saindo
204	0.93	19	entrando
205	0.59	44	saindo
210	0.04	19	entrando
211	0.73	27	saindo
229	0.13	17	entrando
230	0.75	30	saindo
236	0.12	13	entrando
237	0.89	19	saindo
240	0.20	15	entrando
241	0.94	19	saindo
242	0.09	16	entrando
243	0.84	22	saindo
244	0.10	17	entrando
245	0.90	20	saindo
246	0.09	17	entrando
247	0.88	21	saindo
248	0.18	15	entrando
249	0.94	21	saindo
250	0.16	15	entrando
251	0.86	26	saindo
252	0.21	15	entrando
253	0.93	22	saindo
254	0.14	15	entrando
255	0.91	23	saindo
260	0.15	15	entrando
262	0.17	16	entrando
263	0.97	24	saindo
265	0.23	21	entrando
268	0.98	26	saindo
272	0.25	26	entrando
273	0.86	19	saindo
274	0.23	25	entrando
275	0.80	25	saindo
278	0.25	26	entrando
279	0.83	20	saindo
281	0.39	22	entrando
282	0.95	21	saindo
285	0.41	22	entrando
286	0.88	22	saindo
289	0.19	24	entrando
290	0.87	25	saindo
293	0.18	23	entrando
296	0.94	22	saindo
298	0.13	21	entrando
300	0.25	23	entrando
303	0.84	29	saindo
304	0.00	29	saindo
309	0.24	23	entrando
310	0.83	29	saindo
317	0.23	21	entrando
318	0.96	26	saindo
319	0.20	23	entrando
320	0.21	27	entrando
321	0.95	27	saindo
325	0.16	24	entrando
326	0.85	26	saindo
336	0.35	32	entrando
337	0.20	21	saindo
342	0.45	40	entrando
344	0.23	27	entrando
345	0.94	27	saindo
346	0.13	22	saindo
350	0.24	21	entrando
351	1.00	23	saindo
353	0.49	40	entrando
354	0.96	25	saindo
357	0.25	26	entrando
358	0.98	26	saindo
362	0.30	27	entrando
363	0.85	27	saindo
370	0.23	23	entrando
371	0.97	22	saindo
374	0.17	22	entrando
375	0.97	24	saindo
378	0.28	24	entrando
379	0.94	24	saindo
383	0.13	20	saindo
384	0.98	20	saindo
406	0.17	23	entrando
407	0.87	23	saindo
409	0.18	24	entrando
410	0.82	24	saindo
411	0.15	23	entrando
412	0.80	25	saindo
420	0.23	23	entrando
421	0.94	23	saindo
436	0.19	22	entrando
437	0.12	22	saindo
452	0.34	26	entrando
453	0.99	23	saindo
461	0.38	24	entrando
462	0.11	24	saindo
479	0.04	22	entrando
480	0.77	23	saindo
488	0.19	15	entrando
489	0.77	25	saindo
493	0.42	22	entrando
494	0.84	22	saindo
502	0.38	25	entrando
503	0.93	25	saindo
505	0.22	22	entrando
506	0.90	22	saindo
507	0.21	19	entrando
508	0.81	28	saindo
510	0.35	29	entrando
511	0.88	24	saindo
513	0.20	17	entrando
514	0.92	22	saindo
515	0.18	17	entrando
516	0.93	26	saindo
528	0.17	17	entrando
529	0.95	20	saindo
532	0.24	15	entrando
533	0.87	19	saindo
534	0.18	15	entrando
535	0.82	23	saindo
549	0.20	19	entrando
550	0.90	19	saindo
609	0.24	21	Entrando
610	0.88	21	saindo
673	0.15	12	entrando
674	0.81	14	saindo
681	0.44	29	entrando
682	0.84	26	saindo
687	0.23	15	entrando
688	0.94	19	saindo
691	0.23	19	entrando
692	0.99	19	saindo
693	0.32	22	entrando
694	0.24	22	entrando
695	0.92	26	saindo
696	0.33	15	entrando
698	0.98	27	saindo
699	0.23	20	entrando
700	0.26	22	entrando
701	0.88	21	saindo
702	0.26	12	entrando
703	1.00	15	saindo
705	0.22	17	entrando
706	0.96	20	entrando
707	0.43	27	entrando
708	0.23	16	saindo
709	0.25	16	entrando
710	0.75	30	saindo
712	0.22	18	entrando
713	0.85	27	saindo
715	0.35	25	entrando
716	0.90	21	saindo
718	0.27	20	entrando
719	0.37	21	entrando
721	0.01	22	saindo
722	0.24	11	entrando
723	0.80	22	saindo
724	0.15	12	entrando
725	0.94	21	saindo
730	0.24	20	entrando
731	0.87	22	saindo
732	0.26	20	entrando
733	0.92	24	saindo
743	0.86	26	entrando
744	0.64	40	saindo
760	0.06	16	entrando
761	0.76	28	saindo
766	0.82	23	entrando
767	0.34	14	saindo
773	0.05	23	entrando
774	0.76	23	saindo
777	0.05	23	entrando
778	0.77	23	saindo
786	0.11	30	entrando
787	0.75	30	saindo
790	0.06	12	entrando
791	0.71	20	saindo
808	0.28	14	entrando
809	0.87	10	saindo
