ID	periodo	temp	tipo 
2	0.0009	13	inspecionando
3	0.0006	23	inspecionando
5	0.0001	18	inspecionando
9	0.0009	15	inspecionando
10	0.0001	19	inspecionando
11	0.0000	17	inspecionando
12	0.0002	18	inspecionando
15	0.0001	26	inspecionando
22	0.1349	24	inspecionando
23	0.0003	13	inspecionando
24	0.0023	17	inspecionando
25	0.0002	18	inspecionando
27	0.0000	32	inspecionando
30	0.0018	22	inspecionando
31	0.0002	19	inspecionando
33	0.0009	17	inspecionando
35	0.0029	22	inspecionando
37	0.0010	31	inspecionando
44	0.0000	22	inspecionando
45	0.0018	24	inspecionando
49	0.0001	21	inspecionando
50	0.0001	27	inspecionando
51	0.0005	22	inspecionando
52	0.0008	31	inspecionando
54	0.0001	24	inspecionando
55	0.0000	27	inspecionando
56	0.0000	25	inspecionando
57	0.0000	27	inspecionando
58	0.0002	23	inspecionando
59	0.0000	28	inspecionando
60	0.0000	24	inspecionando
61	0.0001	24	inspecionando
62	0.0000	24	inspecionando
63	0.0000	32	inspecionando
64	0.0005	24	inspecionando
65	0.0000	23	inspecionando
66	0.0000	22	inspecionando
67	0.0011	21	inspecionando
68	0.0020	22	inspecionando
69	0.0010	17	inspecionando
70	0.0010	24	inspecionando
72	0.0008	24	inspecionando
73	0.0000	23	inspecionando
74	0.0005	21	inspecionando
77	0.0001	27	inspecionando
78	0.0031	24	inspecionando
79	0.0002	24	inspecionando
80	0.0001	24	inspecionando
81	0.0005	24	inspecionando
82	0.0000	22	inspecionando
83	0.0001	24	inspecionando
87	0.0001	19	inspecionando
89	0.0006	28	inspecionando
91	0.0004	24	inspecionando
93	0.0010	23	inspecionando
94	0.0000	23	inspecionando
95	0.0015	28	inspecionando
96	0.0005	19	inspecionando
97	0.0014	22	inspecionando
106	0.0030	28	inspecionando
107	0.0012	28	inspecionando
109	0.0004	23	inspecionando
110	0.0005	22	inspecionando
111	0.0013	30	inspecionando
114	0.0023	23	inspecionando
117	0.0000	21	inspecionando
118	0.0003	24	inspecionando
119	0.0033	23	inspecionando
120	0.0002	21	inspecionando
121	0.0003	21	inspecionando
122	0.0001	26	inspecionando
124	0.0000	26	inspecionando
125	0.0009	25	inspecionando
133	0.0000	19	inspecionando
134	0.0011	16	inspecionando
136	0.0015	22	inspecionando
138	0.0014	21	inspecionando
142	0.0000	24	inspecionando
143	0.0013	22	inspecionando
145	0.0002	22	inspecionando
148	0.0001	22	inspecionando
150	0.0015	24	inspecionando
154	0.0000	24	inspecionando
155	0.0000	24	inspecionando
157	0.0000	24	inspecionando
160	0.0000	28	inspecionando
169	0.0013	21	inspecionando
170	0.0001	25	inspecionando
171	0.0008	18	inspecionando
172	0.0006	29	inspecionando
174	0.0019	21	inspecionando
178	0.0001	18	inspecionando
183	0.0001	21	inspecionando
186	0.0002	24	inspecionando
187	0.0004	32	inspecionando
188	0.0000	17	inspecionando
191	0.0007	15	inspecionando
192	0.0007	21	inspecionando
193	0.0011	17	inspecionando
202	0.0013	18	inspecionando
207	0.0008	18	inspecionando
209	0.0003	18	inspecionando
215	0.0020	20	inspecionando
218	0.0001	12	inspecionando
221	0.0001	16	inspecionando
223	0.0007	15	inspecionando
226	0.0002	15	inspecionando
228	0.0008	17	inspecionando
231	0.0000	20	inspecionando
233	0.0006	24	inspecionando
234	0.0001	18	inspecionando
235	0.0000	13	inspecionando
239	0.0022	15	inspecionando
258	0.0008	26	inspecionando
267	0.0011	27	inspecionando
269	0.0001	23	inspecionando
270	0.0005	21	inspecionando
280	0.0004	13	inspecionando
287	0.0001	24	inspecionando
292	0.0008	23	inspecionando
295	0.0001	19	inspecionando
312	0.0002	20	inspecionando
313	0.0005	28	inspecionando
314	0.0006	21	inspecionando
322	0.0004	24	inspecionando
327	0.0016	24	inspecionando
330	0.0009	21	inspecionando
331	0.0012	21	inspecionando
332	0.0000	21	inspecionando
338	0.0002	37	inspecionando
339	0.0002	22	inspecionando
364	0.0000	40	inspecionando
365	0.0013	27	inspecionando
366	0.0017	25	inspecionando
367	0.0000	28	inspecionando
369	0.0007	21	inspecionando
373	0.0014	22	inspecionando
377	0.0000	25	inspecionando
380	0.0001	23	inspecionando
385	0.0002	21	inspecionando
386	0.0008	21	inspecionando
387	0.0009	22	inspecionando
388	0.0015	25	inspecionando
389	0.0001	20	inspecionando
395	0.0000	24	inspecionando
397	0.0002	31	inspecionando
399	0.0017	26	inspecionando
400	0.0006	22	inspecionando
402	0.0000	28	inspecionando
415	0.0001	24	inspecionando
422	0.0001	23	inspecionando
425	0.0008	25	inspecionando
427	0.0017	27	inspecionando
429	0.0017	23	inspecionando
430	0.0019	22	inspecionando
431	0.0002	25	inspecionando
432	0.0003	23	inspecionando
434	0.0002	24	inspecionando
438	0.0010	21	inspecionando
